l,D_l_LCDM,D_l_LPEG,delta_D_l,modulation_function,relative_change
25,3462.2538906736004,3486.2454996759893,23.99160900238894,1.0069294770863038,0.6929477086303812
26,3382.3610711490637,3199.9474650811685,-182.41360606789522,0.946069150445276,-5.393084955472398
27,3306.1438192154733,3468.5217633123784,162.37794409690514,1.0491139989594997,4.9113998959499705
28,3234.635143200041,3231.2630283405324,-3.372114859508656,0.9989574976124904,-0.10425023875096484
29,3167.5073384620064,3023.4437004923525,-144.06363796965388,0.9545182938582853,-4.548170614171472
30,3103.4305501317767,3264.7541489875057,161.32359885572896,1.0519823454238018,5.19823454238017
31,3043.3379121282073,2993.1098893841236,-50.22802274408377,0.9834957457257977,-1.6504254274202268
32,2985.096961679777,2895.6314139360647,-89.46554774371225,0.9700292657517671,-2.997073424823296
33,2931.865446096989,3083.07451314213,151.20906704514073,1.0515743542209401,5.157435422094012
34,2878.9576879168185,2779.468652745281,-99.48903517153758,0.9654426893493087,-3.4557310650691333
35,2829.5252011509374,2812.6665370628475,-16.85866408808988,0.9940418752654218,-0.5958124734578244
36,2781.8788704986027,2894.1027473542595,112.22387685565673,1.0403410364289307,4.03410364289307
37,2736.890189845931,2610.3332709420197,-126.55691890391154,0.9537588612895588,-4.6241138710441225
38,2693.324747476962,2752.896133981942,59.57138650498018,1.022118159557545,2.2118159557545054
39,2651.474286596411,2690.1098002346985,38.63551363828765,1.014571332572824,1.4571332572824034
40,2612.059530380273,2506.0726989112127,-105.98683146906023,0.9594240367662562,-4.057596323374387
41,2573.3160724788454,2679.9058362320757,106.58976375323027,1.04142117048628,4.142117048627983
42,2536.40205938443,2489.2291333622748,-47.172926022155025,0.9814016370757862,-1.8598362924213845
43,2500.264868020396,2466.849451538523,-33.41541648187285,0.9866352493652684,-1.3364750634731657
44,2466.137765529693,2556.1814247560424,90.04365922634952,1.03651201505647,3.6512015056470037
45,2433.1162378940066,2337.2529104232385,-95.86332747076813,0.9606005968897963,-3.939940311020365
46,2401.402203067667,2454.5507823947823,53.148579327115385,1.0221323105555666,2.2132310555566588
47,2370.871478844253,2383.1493262527665,12.27784740851348,1.0051786220881525,0.5178622088152437
48,2340.2025888213825,2273.2348699964878,-66.96771882489475,0.9713837942301301,-2.8616205769869825
49,2311.8453167340326,2398.5821397985997,86.73682306456703,1.0375184370843207,3.75184370843206
50,1789119.6916363742,1737307.2017507793,-51812.48988559493,0.9710402327313239,-2.895976726867609
51,1702720.032475432,1716463.469112597,13743.436637165025,1.0080714600022558,0.8071460002255729
52,1622051.4581712931,1646728.8762943004,24677.418123007286,1.0152137085409292,1.5213708540929212
53,1546635.9522532902,1498734.6811391858,-47901.27111410443,0.969028735531256,-3.097126446874404
54,1476040.1268694163,1525292.3787802858,49252.2519108695,1.0333678272116695,3.336782721166956
55,1409876.123454799,1378181.841087423,-31694.282367375912,0.9775198105421409,-2.2480189457859163
56,1347793.2325285047,1352537.7588869112,4744.526358406525,1.0035202182678316,0.3520218267831511
57,1289471.9723702774,1309830.7206608178,20358.748290540418,1.0157884380015778,1.578843800157784
58,1234625.2198215837,1199589.1491207846,-35036.070700799115,0.9716221002630562,-2.837789973694381
59,1182992.401564227,1218830.5373632645,35838.135799037525,1.030294476745286,3.029447674528601
60,1134332.8063974592,1109726.5695202556,-24606.236877203686,0.9783077446597432,-2.169225534025673
61,1088431.550885534,1095252.4409722683,6820.890086734435,1.0062667147797995,0.626671477979947
62,1045091.9375630508,1055975.420923935,10883.483360884245,1.0104139004136443,1.0413900413644366
63,1004130.4663434133,981094.3438628614,-23036.122480551945,0.977058636051111,-2.2941363948889064
64,965384.7333989905,992173.2785658853,26788.545166894794,1.0277490872189121,2.7749087218912103
65,928700.5419775976,906434.5267779963,-22266.0151996013,0.976024548072097,-2.3975451927902944
66,893941.7806917953,905906.3650395671,11964.58434777183,1.0133840755697903,1.3384075569790228
67,860978.3749410587,861387.7867944031,409.4118533444125,1.0004755193222739,0.04755193222738495
68,829692.850120667,818496.2210114842,-11196.62910918286,0.9865050914834875,-1.349490851651243
69,799978.8475490371,817745.6631455417,17766.815596504603,1.0222091067169317,2.2209106716931704
70,771734.1295782892,752713.0552718814,-19021.074306407827,0.9753528144248307,-2.4647185575169277
71,744868.9924650204,760259.5852418327,15390.592776812264,1.0206621472131356,2.0662147213135627
72,719296.5053201948,710850.8048676267,-8445.70045256801,0.9882583880359485,-1.1741611964051468
73,694938.1630116998,695240.6418868597,302.47887515986804,1.000435260129979,0.04352601299790404
74,671720.7980870856,678702.5581267789,6981.760039693327,1.0103938422921783,1.0393842292178324
75,649576.7612791731,637700.7444944732,-11876.016784699867,0.9817173004137137,-1.82826995862862
76,628444.6577172602,642071.7353174979,13627.07760023768,1.0216838148481302,2.1683814848130285
77,608262.2175925453,595977.0634957867,-12285.154096758575,0.9798028650449764,-2.0197134955023612
78,588979.4256817815,597527.9878565666,8548.562174785067,1.0145141948971979,1.4514194897197907
79,570544.4360568135,567043.9791007296,-3500.4569560838863,0.993864707576019,-0.6135292423981011
80,552907.6960537654,551226.0247614313,-1681.6712923340965,0.9969584954155339,-0.30415045844660643
81,536027.601298988,542005.4719312318,5977.870632243808,1.0111521694363448,1.1152169436344834
82,519861.3625321254,511165.1075838157,-8696.254948309681,0.983271972923796,-1.672802707620397
83,504373.112086647,513919.3044233299,9546.19233668287,1.0189268462333156,1.8926846233315697
84,489525.4092990056,480904.3430245691,-8621.066274436482,0.9823889299499657,-1.7611070050034265
