x,y,tau,rho_tau,lambda_plasma,I_magnitude,I_phase
5.642043949304118,0.1282282715750936,-0.03175523372648208,0.02505511415708659,12114775944766.52,0.682227787519055,-0.03175109569063906
5.770272220879211,0.1282282715750936,0.07178849550382363,0.03714339949374782,13602695737127.006,0.7099359188289501,0.07177399434067466
5.898500492454305,0.1282282715750936,0.23130400560385053,0.0530697747745098,15351975212893.396,0.7391228998617182,0.2312342067425347
6.026728764029398,0.1282282715750936,0.4363763087805011,0.06873289940096101,17398951175541.7,0.7693094811957184,0.4361992053420822
6.154957035604492,0.1282282715750936,0.6735875361574446,0.08008553303081553,19783811639592.47,0.7999999999999999,0.6732621734365132
6.283185307179586,0.1282282715750936,0.9273803497423835,0.0842059592696437,22549635627128.97,0.8306905188042816,0.9269167573460212
0.0,0.2564565431501872,0.7190076723067395,0.13256563261480103,25599951948874.227,0.8608771001382819,0.7183493500977276
0.1282282715750936,0.2564565431501872,0.9728371590657378,0.12833101573045186,28923402310323.387,0.8900640811710497,0.9720039340072348
0.2564565431501872,0.2564565431501872,1.2099810419904782,0.11686248582339642,32673569562558.68,0.9177722124809451,1.2090669021016653
0.38468481472528077,0.2564565431501872,1.4149156621478436,0.10113471763347745,36866979139358.66,0.9435465273178918,1.414031900701214
0.5129130863003744,0.2564565431501872,1.5742828646795657,0.08519218825873176,41495093995223.0,0.9669638121448368,1.5734921131030737
0.6411413578754679,0.2564565431501872,1.6777186698823936,0.07311020035422039,46507554299862.02,0.987639555792327,1.6770172031343882
0.7693696294505615,0.2564565431501872,1.7185047772526993,0.06796837778258721,51790241370597.74,1.0052342631212832,1.7178355662984155
0.8975979010256552,0.2564565431501872,1.6939977108687723,0.07107412993357631,57140840946258.875,1.019459029523795,1.693277262279551
1.0258261726007487,0.2564565431501872,1.6057987864085694,0.08163373076161914,62249613546831.586,1.0300802847287984,1.6049486564707278
1.1540544441758422,0.2564565431501872,1.4596435178847904,0.09695753197793558,66699739133467.59,1.036923628019468,1.4586273471730433
1.2822827157509358,0.2564565431501872,1.2650255493822384,0.11314044600625288,70005612226520.375,1.0398766918881652,1.2638842513082766
1.4105109873260295,0.2564565431501872,1.0345981275802885,0.12604056324892346,71700326085854.52,1.0388909871078076,1.0334575681213485
1.538739258901123,0.2564565431501872,0.7833914441852177,0.13232700789932578,71458697355699.4,1.0339826989236378,0.7824195700784409
1.6669675304762166,0.2564565431501872,0.5278627517118256,0.13035458276276168,69208631593351.25,1.0252324212919428,0.5271907213963557
1.7951958020513104,0.2564565431501872,0.28480503324147827,0.12062583203954019,65171022936199.29,1.01278383352952,0.28446561098016954
1.9234240736264039,0.2564565431501872,0.07019316475033531,0.10567500345329572,59800465359156.5,0.9968413411032694,0.0701209547899394
2.0516523452014974,0.2564565431501872,-0.10190852421382739,0.08938907758843131,53656988672276.77,0.9776667192980759,-0.10182290449922804
2.179880616776591,0.2564565431501872,-0.2202690619513435,0.07597660634347295,47273193725701.01,0.9555748148738694,-0.22011907195203262
2.3081088883516845,0.2564565431501872,-0.277192206065421,0.06888276331155874,41067488739202.14,0.9309283762905319,-0.27702976285147046
2.436337159926778,0.2564565431501872,-0.26898428160931764,0.06992201206757785,35315773755522.48,0.9041320973882141,-0.2688324333167227
2.5645654315018716,0.2564565431501872,-0.19618148741096905,0.07882493964164924,30165244803232.08,0.8756259723256691,-0.19606327291808523
2.6927937030769655,0.2564565431501872,-0.06352469360605831,0.09330352905264286,25666848118597.316,0.8458780708883293,-0.06348213237030233
2.821021974652059,0.2564565431501872,0.12032655418212844,0.10962665400159557,21809289027192.227,0.8153768527953714,0.1202388196065114
2.9492502462271526,0.2564565431501872,0.3433387112875156,0.12357540226144384,18546503436862.117,0.7846231472046291,0.343082345218353
3.077478517802246,0.2564565431501872,0.5908891866389525,0.13154082050544572,15816786605925.066,0.7541219291116708,0.5904721884132209
3.2057067893773397,0.2564565431501872,0.8467444816534577,0.13146872664408205,13554747044422.92,0.7243740276743313,0.8462265117822328
3.333935060952433,0.2564565431501872,1.094150393215165,0.12338814071527157,11698073677397.223,0.6958679026117862,1.093616354977101
3.4621633325275267,0.2564565431501872,1.3169387210841172,0.10938727257076228,10190933535813.59,0.6690716237094685,1.3164598805889427
3.5903916041026207,0.2564565431501872,1.500571460857365,0.09306367971048858,8985348865556.8,0.644425185126131,1.500180832565757
3.7186198756777142,0.2564565431501872,1.6330696799683195,0.07860246410967259,8041441996208.306,0.6223332807019245,1.6327619731135399
3.8468481472528078,0.2564565431501872,1.7057844329881342,0.06971095499152588,7327074924888.526,0.6031586588967308,1.7055311335121777
3.9750764188279013,0.2564565431501872,1.71396309279953,0.06867102354028702,6817150766117.761,0.58721616647048,1.7137284630469258
4.103304690402995,0.2564565431501872,1.6570659730240722,0.07575129087415267,6492668409652.369,0.5747675787080576,1.6568177721474884
4.231532961978089,0.2564565431501872,1.5388046928944663,0.08913584167441803,6339527794099.384,0.5660173010763624,1.5385216046946835
4.359761233553182,0.2564565431501872,1.3668991225524492,0.10538976332070749,6347097222513.147,0.5611090128921925,1.3665777454055168
4.487989505128276,0.2564565431501872,1.1525735867366924,0.12033953548294057,6506706290506.304,0.5601233081118351,1.152233089215286
4.616217776703369,0.2564565431501872,0.9098291706797101,0.1301419695213494,6810472690254.864,0.563076371980532,0.9095079787991013
4.744446048278463,0.2564565431501872,0.6545373698239858,0.13227177687811587,7251005388080.607,0.5699197152712013,0.6542791301170152
4.872674319853556,0.2564565431501872,0.40340656319097806,0.12617699270384508,7822282843434.334,0.5805409704762049,0.4032411320741085
5.00090259142865,0.2564565431501872,0.17288325776541436,0.11342851994474173,8521389299837.593,0.5947657368787169,0.17281444888717964
5.129130863003743,0.2564565431501872,-0.021936685248593404,0.0973168040767171,9350270746420.936,0.6123604442076728,-0.021928646977586674
5.257359134578837,0.2564565431501872,-0.1683056543082557,0.08199854944936566,10316737258165.89,0.633036187855163,-0.16824995627527198
5.385587406153931,0.2564565431501872,-0.2566581361898922,0.07142082928001178,11434506729089.363,0.6564534726821083,-0.2565785620840959
5.513815677729024,0.2564565431501872,-0.2812270623327457,0.06830592607541422,12722617544565.705,0.6822277875190548,-0.28113686610296024
5.642043949304118,0.2564565431501872,-0.24040855323116964,0.07345658395066815,14204678437984.275,0.7099359188289502,-0.2403185029389332
5.770272220879211,0.2564565431501872,-0.1368582385715822,0.0855533348681517,15908247989729.713,0.739122899861718,-0.13679341290761948
5.898500492454305,0.2564565431501872,0.022680548402659508,0.10148953731622304,17864383795883.645,0.7693094811957184,0.022666799494240556
6.026728764029398,0.2564565431501872,0.22780143498888292,0.11715908756498107,20107209899091.65,0.7999999999999998,0.227631798093788
6.154957035604492,0.2564565431501872,0.4650907982781819,0.1285057354716952,22673224110442.086,0.8306905188042812,0.46469476618821903
6.283185307179586,0.2564565431501872,0.7189865345995509,0.13259582203983425,25599951948874.21,0.8608771001382816,0.7183493500977272
0.0,0.38468481472528077,0.4053476601742442,0.18246634360814876,28765745004667.324,0.8900640811710497,0.404783343122394
0.1282282715750936,0.38468481472528077,0.6593315801999076,0.1782090438232918,32148057789359.605,0.9177722124809451,0.6584379270319014
0.2564565431501872,0.38468481472528077,0.8966273372394827,0.16669191375523737,35906459319532.73,0.9435465273178919,0.8955008951263318
0.38468481472528077,0.38468481472528077,1.1016876860681526,0.15089947140566623,40044111386911.305,0.9669638121448368,1.1004658937258802
0.5129130863003744,0.38468481472528077,1.2611397720140336,0.13489936184559917,44536602034386.45,0.9876395557923272,1.25992610612774
0.6411413578754679,0.38468481472528077,1.3646227463371887,0.12278159520087818,49315887091030.75,1.0052342631212832,1.3634511961590545
0.7693696294505615,0.38468481472528077,1.4054292310414225,0.11762888521498417,54250074195110.2,1.019459029523795,1.4042695593230818
0.8975979010256552,0.38468481472528077,1.3809206543583554,0.12074902580886361,59122234553287.08,1.0300802847287984,1.3797112553042177
1.0258261726007487,0.38468481472528077,1.2926897264718704,0.13135195811665415,63616272738317.19,1.036923628019468,1.2913826494953942
1.1540544441758422,0.38468481472528077,1.146454523247513,0.1467489706903133,67323809456678.48,1.0398766918881652,1.1450613401977097
1.2822827157509358,0.38468481472528077,0.9516980861157319,0.1630205062348121,69788604664204.47,1.0388909871078076,0.9503182443329429
1.4105109873260295,0.38468481472528077,0.7210862604977476,0.17599242272702495,70596283513257.56,1.0339826989236378,0.7198915611460148
1.538739258901123,0.38468481472528077,0.4696870225419746,0.1823019051567567,69492003277438.4,1.0252324212919426,0.4688535631031073
1.6669675304762166,0.38468481472528077,0.21400239620703065,0.18029636166896001,66478035228732.74,1.0127838335295203,0.2136247144210221
1.7951958020513104,0.38468481472528077,-0.029147975722052407,0.17050006510651164,61835954880819.2,0.9968413411032696,-0.029100395995164008
1.9234240736264039,0.38468481472528077,-0.24379162376685756,0.15547862624436268,56053758870695.35,0.9776667192980759,-0.2434450521853942
2.0516523452014974,0.38468481472528077,-0.4158858950606154,0.13913884868394139,49694050772085.24,0.9555748148738695,-0.4153889114745617
2.179880616776591,0.38468481472528077,-0.5342229816862174,0.1256931959034401,43267414419285.76,0.9309283762905318,-0.5336850789273662
2.3081088883516845,0.38468481472528077,-0.5911208191624306,0.11858293027869034,37156630939471.87,0.904132097388214,-0.5905957698268042
2.436337159926778,0.38468481472528077,-0.5828908490979074,0.11961829694390531,31598692916219.484,0.8756259723256692,-0.5823984402920563
2.5645654315018716,0.38468481472528077,-0.510069017179331,0.12852759361118166,26705466154246.277,0.8458780708883297,-0.5096292798934188
2.6927937030769655,0.38468481472528077,-0.37739227326447805,0.14302166493720556,22499321756356.363,0.8153768527953714,-0.3770481393456359
2.821021974652059,0.38468481472528077,-0.19351267350410278,0.15936719081986053,18947723636833.21,0.7846231472046289,-0.19332718736882223
2.9492502462271526,0.38468481472528077,0.029544964450062498,0.17333907900496823,15989909748385.256,0.7541219291116709,0.02951633824301941
3.077478517802246,0.38468481472528077,0.2771621164998997,0.18131779861965955,13554747044422.92,0.7243740276743312,0.27690618143788737
3.2057067893773397,0.38468481472528077,0.533099393120317,0.1812395041129185,11571418348653.648,0.6958679026117862,0.5326605048068993
3.333935060952433,0.38468481472528077,0.7805878395925983,0.17313215704926546,9975139360771.742,0.6690716237094685,0.7800503480017674
3.4621633325275267,0.38468481472528077,1.0034435172170415,0.15909334107431744,8709776789770.1045,0.6444251851261309,1.002893873613609
3.5903916041026207,0.38468481472528077,1.187120031457807,0.14273372690019204,7728697532522.589,0.6223332807019243,1.1866148255904236
3.7186198756777142,0.38468481472528077,1.3196397827719948,0.12824690260378047,6994688336853.18,0.6031586588967307,1.3191959661382062
3.8468481472528078,0.38468481472528077,1.3923608638681093,0.11934157181701434,6479407525017.215,0.5872161664704799,1.391965126536844
3.9750764188279013,0.38468481472528077,1.4005374013773428,0.11829732392127326,6162549585628.18,0.5747675787080576,1.4001624560715922
4.103304690402995,0.38468481472528077,1.3436323965690185,0.12538108039449664,6030696248015.9,0.5660173010763624,1.3432517651721547
4.231532961978089,0.38468481472528077,1.2253557792346794,0.13877697889388965,6075705369836.913,0.5611090128921924,1.22495559771935
4.359761233553182,0.38468481472528077,1.0534236755789292,0.15504995771025742,6292521315108.265,0.560123308111835,1.053011738430183
4.487989505128276,0.38468481472528077,0.8390580658854738,0.17002348290962252,6676573252741.416,0.563076371980532,0.8386670822399523
4.616217776703369,0.38468481472528077,0.5962619354624608,0.1798479806941052,7221437531187.171,0.5699197152712013,0.5959419718237676
4.744446048278463,0.38468481472528077,0.3409134193865903,0.1819912613138227,7917840919128.31,0.5805409704762051,0.3407131231416817
4.872674319853556,0.38468481472528077,0.08972971460589878,0.17589819844923493,8754815982389.89,0.5947657368787169,0.08967512509877489
5.00090259142865,0.38468481472528077,-0.14083589045986472,0.16314214154574735,9722733062336.957,0.6123604442076729,-0.14075155808815396
5.129130863003743,0.38468481472528077,-0.33568579153159367,0.14701941621609718,10816787186806.082,0.6330361878551631,-0.33549465395292033
5.257359134578837,0.38468481472528077,-0.48207553677515796,0.13169219403247653,12039355926963.756,0.6564534726821082,-0.48181596325060555
5.385587406153931,0.38468481472528077,-0.5704450482934442,0.12111057626180531,13400554309281.26,0.6822277875190551,-0.5701445690594296
5.513815677729024,0.38468481472528077,-0.595031935788148,0.11799817085684364,14917377913875.73,0.7099359188289501,-0.594702873078294
5.642043949304118,0.38468481472528077,-0.5542339208788775,0.12315930249919936,16612262126032.64,0.7391228998617182,-0.5538845099142669
5.770272220879211,0.38468481472528077,-0.45070309684394944,0.13527755865533014,18511692708437.137,0.7693094811957184,-0.4503594198829531
5.898500492454305,0.38468481472528077,-0.29117228260803296,0.1512495081440327,20645090102138.35,0.8000000000000002,-0.290899207481093
6.026728764029398,0.38468481472528077,-0.08603111944482769,0.166967477882606,23043854469653.46,0.8306905188042814,-0.08593420888154563
