zero_index,gamma,theta,depth_r,w_apex,w_base_1,w_base_2,w_base_3,x,y,z
44,131.08768853093267,5.423982387340942,0.7141864658544897,0.28581353414551025,0.41412404550866705,0.010861330860913692,0.28920108948490897,0.24898911297159354,-0.22726346125274066,0.04775137886068036
45,133.4977372029976,1.5508457522262873,0.7177571759832324,0.2822428240167676,0.19180797047291087,0.5018954981634067,0.024053707346914897,-0.0670965443746512,0.3901561884260472,0.04299043202235678
46,134.75650975337388,2.8096183026025656,0.7195820278849133,0.2804179721150867,0.01587619921667804,0.45980237419839776,0.24390345446983755,-0.3167618847737632,0.17628072978435896,0.04055729615344891
47,138.11604205453344,6.169150603762127,0.724323223233425,0.275676776766575,0.567155708477386,0.06173454392439632,0.09543297083164275,0.46063005295987236,-0.027514650352409582,0.034235702355433315
48,139.7362089521214,1.5061321941704904,0.7265450473182669,0.2734549526817332,0.20709946268506835,0.49755185272589286,0.02189373190730573,-0.0496137509747607,0.3883732293388836,0.03127327024231091
49,141.12370740402113,2.8936306460702355,0.728415608016664,0.27158439198333595,0.012966210263668948,0.4408806539306671,0.274568743822328,-0.32504142022634164,0.13579310597101818,0.028779189311114617
50,143.11184580762063,4.881769049669728,0.7310456559371639,0.26895434406283614,0.2406448373616418,0.017053201130843174,0.47334761744467885,-0.004295034401522596,-0.3725628308166592,0.0252724587504482
51,146.0009824867655,1.487720421635025,0.7347658414520994,0.2652341585479006,0.2149693995478444,0.4986140745437714,0.021182367360483727,-0.0423592990475839,0.3898213565416416,0.020312211397200797
52,147.42276534255961,2.909503277429131,0.7365539081803879,0.2634460918196121,0.012580318522409583,0.4409253175898876,0.28304827206809063,-0.3294235850491722,0.1289060678755182,0.017928122426149495
53,150.05352042078488,5.5402583556543945,0.739791028044235,0.260208971955765,0.4646858914666407,0.015217950953365934,0.2598871856242284,0.3084242548948581,-0.19977159356696264,0.013611962607686642
54,150.92525761224147,0.12881023993139706,0.7408438082721939,0.25915619172780613,0.5792808967983477,0.10026302050242938,0.061299890971416804,0.46998978025631605,0.03181326204431588,0.012208255637074839
55,153.0246938111989,2.2282464388888172,0.743339877979036,0.256660122020964,0.0608856494737533,0.5809325912848657,0.1015216372204169,-0.2643084677238952,0.39143740485292156,0.008880162694618693
56,156.11290929423788,5.316461921927811,0.7469136858677267,0.25308631413227334,0.3975286761426189,0.008490614766381872,0.3408943949587259,0.2100919570743746,-0.27140655001450026,0.004115085509697802
57,157.59759181759406,0.5179591381044091,0.748591828380185,0.251408171619815,0.5293152837146745,0.19263810779298135,0.026638436872529224,0.39567528087501197,0.13553816374167682,0.0018775621597532932
58,158.8499881714205,1.7703554919308502,0.7499878464757971,0.250012153524203,0.14232795811223808,0.5663792402892635,0.04128064807429557,-0.1522655326998241,0.42874120519348347,1.620469893728882e-05
59,161.18896413759603,4.109331458106375,0.7525483621509562,0.24745163784904378,0.06869737310450673,0.09305781965088074,0.5907931693955688,-0.2576019432880492,-0.40639921127340367,-0.003397816201274967
60,163.030709687182,5.951077007692341,0.7545229553034923,0.24547704469650766,0.5686069517884406,0.04080927137704296,0.14510673213800881,0.4484461307081615,-0.08515852011077227,-0.006030607071323114
61,165.5370691879004,2.174251201231172,0.7571532325616896,0.2428467674383103,0.0690636012951199,0.5943936155418319,0.09369601572473786,-0.25925477514323725,0.40881787832937605,-0.009537643415586244
62,167.1844399781745,3.8216219915052676,0.7588474230387654,0.2411525769612346,0.03801182839769212,0.15452820728106031,0.5663073873600131,-0.3039672625604837,-0.3362162926316873,-0.01179656405168722
63,169.09451541556882,5.7316974288995794,0.7607784378386053,0.23922156216139467,0.5300815821741445,0.025022280819311384,0.20567457484514945,0.391014167757406,-0.14750198040884704,-0.01437125045147375
64,169.9119764794117,0.26597318556286353,0.7615941559557649,0.23840584404423515,0.5829943184329337,0.1311247037542405,0.04747513376859068,0.4654595437887362,0.06829958788935761,-0.015458874607686468
